nr,conf,sweat,conf_sweat,broken,grim,broken_grim,kisscl,kissm,kisscl_kissm,imp,fear,imp_fear,kiss,twoh,kiss_twoh,sungl,smile,sungl_smile,joycat,disa,joycat_disa,fluency,culturalbg,name_cult,gender,age
P55,3,2,1,3,4,2,3,2,2,4,3,3,4,2,2,2,4,5,3,4,4,3,Asia,,F,50s
P56,2,2,2,3,2,2,4,4,4,2,2,2,4,5,4,4,5,5,5,4,4,5,Asia,,M,40s
P57,4,4,5,4,4,5,4,4,5,4,5,4,4,4,4,4,5,4,4,4,4,5,KR,,M,50s
P58,1,2,5,3,3,3,4,4,3,2,3,5,4,5,2,3,4,2,3,2,2,4,KR,,M,50s
P59,4,4,2,4,5,2,4,3,2,2,2,2,4,2,2,2,4,2,3,3,2,4,KR,,F,30s
P60,1,2,2,2,1,2,4,4,2,2,1,2,3,4,2,3,2,2,2,1,2,4,KR,,F,30s
P61,3,4,2,3,3,3,4,3,2,1,2,5,4,5,3,4,4,2,3,3,2,5,KR,,F,40s
P62,2,1,3,1,2,4,4,5,3,4,4,4,4,2,4,4,2,5,3,3,4,3,KR,,F,50s
P63,2,2,2,3,2,2,4,4,3,3,3,3,4,4,3,3,3,3,2,2,3,4,KR,,M,40s
P64,4,4,4,4,4,3,4,3,1,3,3,4,4,5,4,3,4,3,4,4,4,4,KR,,F,20s
P65,2,1,2,2,4,4,5,4,3,2,2,3,4,5,2,4,2,4,3,2,2,5,KR,,M,30s
P66,1,1,1,1,3,5,5,5,3,2,1,3,4,3,3,2,3,4,4,4,3,4,KR,,F,20s
P67,2,2,5,3,1,2,4,4,5,2,1,4,4,5,2,4,3,5,2,2,5,4,KR,,F,50s
P68,5,5,3,1,1,3,4,5,1,1,1,3,3,5,1,1,5,1,3,1,3,5,KR,,M,40s
P69,4,2,2,2,4,3,2,3,3,4,4,2,2,2,2,4,4,3,3,4,3,3,Asia,Japan,M,40s
P70,3,1,5,3,3,3,5,3,5,3,2,2,3,3,3,4,1,1,4,1,1,4,KR,Korea,D,20s
P71,3,4,3,4,3,4,3,3,3,3,3,4,3,4,5,4,2,2,3,4,4,4,EU,,F,20s
P72,2,1,5,4,4,3,4,3,2,3,4,2,4,4,3,4,3,4,3,4,4,4,KR,,M,50s
P73,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,EU,,F,20s
P74,4,2,3,2,4,5,5,4,3,2,2,3,3,4,1,3,2,2,4,2,1,4,KR,,M,30s
P75,3,2,4,4,3,5,4,3,4,4,5,2,4,4,2,4,3,4,2,2,2,4,KR,,M,60a
P76,4,3,3,4,3,3,3,4,3,2,4,3,3,3,4,4,3,4,4,3,4,3,EU,,M,30s
P77,2,1,2,3,3,2,4,4,4,3,2,2,3,5,1,4,2,1,4,2,2,5,KR,,M,20s
P78,4,4,3,4,2,4,4,4,3,2,2,3,4,5,5,4,4,3,2,2,4,4,KR,,F,40s
P79,2,2,4,2,2,4,4,4,3,3,2,3,4,5,5,3,3,3,3,2,2,4,KR,,M,40s
P80,2,3,2,1,4,1,1,3,3,1,1,3,5,1,3,1,5,3,5,4,4,3,KR,,M,50s
P81,3,3,3,4,3,2,2,2,3,4,4,3,3,4,4,2,2,3,3,3,3,3,KR,,M,50s
P82,2,2,3,2,2,4,4,4,4,2,2,4,3,4,1,3,2,4,2,1,2,4,KR,,M,30s
P83,2,2,1,2,2,4,4,4,2,2,2,4,4,5,2,4,5,2,5,2,2,4,KR,,F,40s
P84,3,2,3,3,4,2,4,4,3,2,2,1,3,2,2,3,2,3,4,3,4,3,KR,,M,30s
P85,3,2,3,3,3,2,3,2,3,1,2,3,2,4,3,2,2,3,2,2,3,3,Multi,,M,20s
